CpGs,Monocytes_EPIC,B-cells_EPIC,CD4T-cells_EPIC,NK-cells_EPIC,CD8T-cells_EPIC,Neutrophils_EPIC,Erythrocyte_progenitors,Adipocytes,Bladder
cg16940803,0.9288,0.9385,0.9293,0.9344,0.9304,0.9219,0.9671,0.9572,0.9499
cg04320956,0.9709,0.9729,0.9686,0.9727,0.979,0.9699,0.9885,0.9898,0.9115
cg17248540,0.8357,0.8294,0.8205,0.8356,0.8414,0.8308,0.8522,0.8373,0.7406
cg05684569,0.9805,0.9808,0.98,0.9807,0.9817,0.9808,0.9859,0.9864,0.8876
cg08489309,0.9551,0.9499,0.941,0.943,0.9521,0.9483,0.9596,0.6982,0.93
cg18741175,0.8142,0.7881,0.7566,0.7595,0.7546,0.7938,0.8924,0.5697,0.7463
cg14719752,0.9626,0.964,0.9624,0.9591,0.9621,0.9607,0.9854,0.907,0.885
cg16929427,0.97,0.9745,0.9732,0.9722,0.9724,0.9723,0.9757,0.9758,0.934
cg00134190,0.83,0.8605,0.8512,0.8486,0.8645,0.8031,0.8607,0.8632,0.8709
cg27089559,0.8717,0.8717,0.8581,0.8636,0.8759,0.8423,0.8938,0.8813,0.8971
cg21871213,0.9801,0.9775,0.9784,0.9756,0.9807,0.9751,0.9893,0.9536,0.9844
cg08333708,0.967,0.9669,0.9644,0.9663,0.9663,0.9635,0.9763,0.9855,0.986
cg20410537,0.9724,0.9717,0.9712,0.9701,0.9735,0.9671,0.9803,0.9634,0.9802
cg15860924,0.8846,0.8886,0.8912,0.891,0.8964,0.8697,0.9303,0.8035,0.8948
cg02314166,0.9624,0.9599,0.9575,0.9595,0.9559,0.9588,0.9908,0.983,0.9844
cg24136288,0.9439,0.9414,0.9421,0.9419,0.9471,0.9,0.9661,0.9498,0.9612
cg03890628,0.9697,0.9704,0.9679,0.9678,0.9681,0.9686,0.9802,0.9341,0.9798
cg09541794,0.9773,0.9798,0.9792,0.9795,0.9801,0.9773,0.9903,0.9895,0.9908
cg15386350,0.982,0.9843,0.9816,0.9832,0.9822,0.9814,0.9889,0.9493,0.9558
cg26401028,0.9602,0.9801,0.9508,0.9787,0.9669,0.8355,0.9865,0.9706,0.9797
cg20691436,0.9676,0.9684,0.9649,0.9673,0.968,0.9661,0.9829,0.9818,0.9296
cg09174681,0.9325,0.9313,0.9233,0.9277,0.9319,0.9278,0.9388,0.8219,0.9204
cg08442149,0.9754,0.9761,0.9758,0.9741,0.9807,0.974,0.9762,0.9657,0.7523
cg22018329,0.9783,0.9745,0.9753,0.9766,0.9779,0.977,0.9922,0.9871,0.9921
cg03784994,0.9772,0.9754,0.974,0.9783,0.977,0.9774,0.9822,0.9182,0.9805
cg06518327,0.9759,0.9752,0.9712,0.9656,0.974,0.9718,0.9889,0.9594,0.9505
cg14414203,0.9757,0.9592,0.9623,0.9655,0.9672,0.9712,0.9807,0.8734,0.9599
cg18064706,0.9533,0.9533,0.9454,0.8692,0.9551,0.9479,0.9753,0.9042,0.9493
cg14628604,0.7739,0.8225,0.7888,0.7305,0.7812,0.8368,0.8845,0.8008,0.8371
cg22108292,0.9568,0.9074,0.9444,0.9494,0.9437,0.9541,0.9661,0.8824,0.8999
cg25663764,0.9746,0.972,0.9721,0.9741,0.971,0.9749,0.9857,0.9752,0.5933
cg05880944,0.969,0.9735,0.9704,0.97,0.9744,0.9706,0.9902,0.9712,0.9702
cg14199833,0.9787,0.9738,0.9742,0.9753,0.9743,0.9721,0.9881,0.6517,0.9547
cg00117005,0.9551,0.9269,0.9456,0.9455,0.952,0.9468,0.9743,0.5259,0.9095
cg03243551,0.893,0.8935,0.8804,0.893,0.8984,0.8758,0.9003,0.6076,0.8445
cg13059373,0.869,0.8745,0.8554,0.8524,0.8645,0.8516,0.8595,0.5329,0.8345
cg23544472,0.9318,0.921,0.9116,0.914,0.9158,0.9271,0.9462,0.9121,0.8748
cg11754374,0.9763,0.9763,0.9757,0.9743,0.9776,0.9755,0.9727,0.981,0.9746
cg03347632,0.9483,0.9357,0.9366,0.9364,0.9407,0.9352,0.9589,0.6596,0.9694
cg05266497,0.88,0.8842,0.8549,0.8652,0.8528,0.8742,0.8956,0.5358,0.8394
cg02225054,0.9662,0.966,0.9644,0.9665,0.9691,0.9649,0.9692,0.9799,0.9843
cg27096032,0.9674,0.9661,0.9662,0.965,0.9662,0.9636,0.933,0.9799,0.9726
cg21101726,0.9728,0.9728,0.9728,0.9709,0.9736,0.9689,0.9843,0.9832,0.904
cg26961332,0.9867,0.9849,0.9838,0.9857,0.9866,0.9856,0.9933,0.9899,0.9635
cg10299941,0.9827,0.9772,0.9671,0.9796,0.9728,0.976,0.9877,0.9724,0.9893
cg15718663,0.9125,0.8268,0.8986,0.9042,0.9066,0.8936,0.9664,0.9445,0.9492
cg05982473,0.9826,0.9517,0.9782,0.9799,0.9798,0.976,0.9905,0.9814,0.9838
cg18897335,0.8329,0.762,0.8038,0.8447,0.7941,0.8194,0.8646,0.7955,0.8303
cg23475112,0.9673,0.9645,0.9637,0.9612,0.9654,0.961,0.9827,0.9639,0.9828
cg03962214,0.9544,0.9588,0.9559,0.9601,0.952,0.951,0.9802,0.9668,0.9559
cg21787835,0.9646,0.9632,0.9599,0.9573,0.964,0.9576,0.9765,0.9654,0.9779
cg20318235,0.8451,0.8524,0.8213,0.8616,0.8413,0.8395,0.8754,0.8153,0.7626
cg00758701,0.9056,0.8879,0.853,0.8832,0.8695,0.8808,0.9388,0.9061,0.9335
cg14213814,0.9697,0.9757,0.972,0.9737,0.9724,0.9722,0.9838,0.9787,0.984
cg09146892,0.961,0.9609,0.9544,0.9631,0.9597,0.9593,0.963,0.9676,0.9529
cg18679635,0.9298,0.9196,0.9154,0.9185,0.9238,0.9205,0.9218,0.9045,0.9196
cg19751937,0.87,0.8604,0.8328,0.825,0.841,0.8585,0.8937,0.8401,0.8348
cg19390357,0.9534,0.949,0.9459,0.9478,0.9489,0.9481,0.9823,0.9729,0.9888
cg10503298,0.9807,0.9775,0.9808,0.9016,0.9793,0.9788,0.9853,0.9848,0.9865
cg13189671,0.9424,0.9552,0.945,0.9428,0.9562,0.9204,0.9543,0.9202,0.9759
cg14790739,0.981,0.9795,0.9803,0.98,0.9828,0.98,0.9935,0.9871,0.9908
cg21333208,0.9797,0.9766,0.9755,0.9745,0.976,0.9765,0.9888,0.9837,0.7871
cg05673770,0.8721,0.8767,0.862,0.8695,0.8604,0.8581,0.9041,0.8704,0.6561
cg04768745,0.9481,0.9476,0.9415,0.9465,0.9471,0.9459,0.9703,0.9748,0.9759
cg03976326,0.952,0.9774,0.9708,0.9659,0.9748,0.9615,0.9851,0.98,0.9798
cg02332902,0.9769,0.9755,0.973,0.9715,0.9748,0.974,0.9862,0.9898,0.9908
cg20691436,0.9676,0.9684,0.9649,0.9673,0.968,0.9661,0.9829,0.9818,0.9296
cg13826564,0.9686,0.9662,0.966,0.9688,0.9626,0.9646,0.9829,0.9818,0.9728
cg21768956,0.9805,0.9795,0.9786,0.9774,0.9801,0.975,0.9896,0.9874,0.9868
cg03381604,0.952,0.9522,0.9556,0.9506,0.9546,0.9524,0.9587,0.9454,0.898
cg06332339,0.9806,0.9792,0.9782,0.9794,0.9805,0.9797,0.9896,0.9823,0.9866
cg08435157,0.7943,0.896,0.8319,0.8432,0.8971,0.7425,0.886,0.8812,0.9015
cg17774001,0.9568,0.9756,0.9692,0.9696,0.9738,0.9438,0.98,0.9796,0.9833
cg01512719,0.9673,0.9669,0.9573,0.9587,0.9527,0.9635,0.9819,0.9749,0.9769
cg06503715,0.9568,0.9518,0.9434,0.9469,0.9542,0.9492,0.9725,0.9706,0.914
cg26176014,0.9019,0.8917,0.8891,0.8816,0.8921,0.8929,0.9267,0.8834,0.8059
cg04128884,0.9468,0.9413,0.9401,0.9457,0.9435,0.946,0.8967,0.9543,0.9578
cg07349805,0.9329,0.9317,0.9352,0.9334,0.9372,0.9407,0.8528,0.9491,0.9374
cg14697425,0.9747,0.9701,0.9673,0.964,0.9699,0.9676,0.9887,0.9636,0.9674
cg10348368,0.9611,0.9504,0.9538,0.9547,0.9592,0.9578,0.9736,0.9619,0.9606
cg14233878,0.9753,0.9724,0.9635,0.9648,0.9642,0.9691,0.9832,0.9731,0.8333
cg01753252,0.9711,0.9735,0.9699,0.9732,0.97,0.972,0.9774,0.9729,0.7195
cg02328660,0.974,0.963,0.9382,0.9662,0.9491,0.9743,0.9876,0.9632,0.9294
cg13729548,0.9554,0.969,0.966,0.9465,0.9645,0.6744,0.95,0.9679,0.9696
cg25478712,0.968,0.9634,0.958,0.9604,0.9637,0.9597,0.9815,0.9778,0.7797
cg14108894,0.9689,0.963,0.9587,0.9662,0.9604,0.9641,0.985,0.9621,0.9652
cg01922485,0.9642,0.9632,0.9613,0.9612,0.9641,0.9649,0.9411,0.9643,0.975
cg27620176,0.9799,0.9798,0.9785,0.9788,0.9784,0.9777,0.9885,0.9875,0.9869
cg09159050,0.9712,0.9541,0.9403,0.7924,0.9535,0.9692,0.9814,0.9588,0.9729
cg23956190,0.984,0.9849,0.9819,0.9842,0.9855,0.9833,0.9922,0.9718,0.9815
cg22717323,0.9558,0.9492,0.9342,0.9355,0.9404,0.9418,0.9877,0.958,0.9809
cg11856821,0.9665,0.9645,0.9623,0.9627,0.9652,0.9616,0.9156,0.9469,0.9499
cg27431500,0.9662,0.9606,0.9598,0.9611,0.9664,0.9541,0.9862,0.9721,0.977
cg03070534,0.9814,0.9763,0.98,0.9808,0.9808,0.9744,0.9855,0.9834,0.962
cg01176141,0.9785,0.9767,0.9742,0.9749,0.9755,0.9738,0.9875,0.973,0.7682
cg13089599,0.9688,0.9698,0.9656,0.9679,0.969,0.9654,0.9767,0.9549,0.6322
cg04896048,0.8855,0.806,0.7671,0.8501,0.7744,0.8707,0.9424,0.939,0.8861
cg04745079,0.9516,0.9503,0.945,0.9508,0.948,0.9487,0.9785,0.9594,0.9614
cg14398731,0.8996,0.8938,0.8635,0.888,0.8754,0.879,0.9486,0.893,0.8708
cg21596290,0.8045,0.7652,0.7204,0.7762,0.7095,0.7927,0.856,0.8015,0.7123
cg02089452,0.934,0.9587,0.936,0.9354,0.948,0.8093,0.9521,0.9635,0.8229
cg18490269,0.9728,0.9711,0.9678,0.9717,0.9662,0.9643,0.9819,0.9633,0.9812
cg09786329,0.9782,0.9778,0.9785,0.9778,0.9806,0.9793,0.9917,0.9867,0.9853
cg15654779,0.9477,0.9526,0.9472,0.9495,0.9557,0.9451,0.9662,0.9444,0.9255
cg22152500,0.815,0.816,0.8028,0.8127,0.8225,0.8079,0.8804,0.8712,0.8757
cg13159929,0.9643,0.9598,0.9409,0.963,0.9376,0.9571,0.9834,0.9733,0.6715
cg20268930,0.9602,0.9554,0.9564,0.9555,0.9564,0.9426,0.9821,0.9708,0.9813
cg05485379,0.9772,0.9364,0.9646,0.9782,0.9569,0.9809,0.9858,0.9831,0.7106
cg25611057,0.9323,0.8637,0.8308,0.9298,0.7802,0.9253,0.9635,0.8819,0.552
cg04128884,0.9468,0.9413,0.9401,0.9457,0.9435,0.946,0.8967,0.9543,0.9578
cg07349805,0.9329,0.9317,0.9352,0.9334,0.9372,0.9407,0.8528,0.9491,0.9374
cg14071947,0.9603,0.9564,0.9564,0.9554,0.9554,0.9556,0.9737,0.9646,0.969
cg15247247,0.9517,0.9505,0.943,0.9482,0.9514,0.9395,0.9663,0.9159,0.9577
cg01094351,0.9636,0.9618,0.9664,0.9687,0.9685,0.9628,0.9697,0.9535,0.9718
cg13320898,0.9668,0.9667,0.966,0.9624,0.9663,0.9664,0.9702,0.9737,0.9671
cg04455286,0.9808,0.9807,0.9751,0.9761,0.9787,0.9774,0.9895,0.9249,0.9113
cg02026637,0.7664,0.7715,0.7518,0.7739,0.7404,0.7002,0.8662,0.5872,0.575
cg09432775,0.9838,0.9826,0.9795,0.9804,0.9826,0.9794,0.9879,0.9006,0.9678
cg06492111,0.975,0.976,0.972,0.9648,0.9755,0.9712,0.9829,0.9777,0.9787
cg13599131,0.9041,0.9501,0.9489,0.9246,0.9577,0.9324,0.9544,0.96,0.8672
cg27353308,0.918,0.9728,0.9709,0.9585,0.9803,0.9701,0.9874,0.9868,0.9793
cg22811668,0.9736,0.9476,0.963,0.9678,0.9725,0.9661,0.9875,0.9836,0.988
cg03246954,0.9718,0.9711,0.9726,0.9716,0.973,0.9743,0.9871,0.9756,0.9825
cg16628135,0.9799,0.9805,0.9777,0.9797,0.9793,0.9759,0.9893,0.951,0.6033
cg20341238,0.967,0.965,0.9565,0.9621,0.9561,0.9584,0.9878,0.9855,0.6721
cg11960435,0.9709,0.9722,0.9686,0.9627,0.9673,0.9672,0.9768,0.9769,0.9696
cg07748741,0.9731,0.9702,0.9694,0.9643,0.965,0.9702,0.9722,0.9611,0.963
cg02613380,0.9261,0.9174,0.8969,0.9146,0.8963,0.9213,0.9693,0.9431,0.9478
cg10457436,0.9657,0.9472,0.9591,0.9514,0.9647,0.9609,0.977,0.8199,0.675
cg09954729,0.9616,0.9569,0.9542,0.9606,0.9496,0.962,0.9821,0.9728,0.9509
cg24878868,0.9744,0.9676,0.956,0.9636,0.9564,0.9748,0.9889,0.9351,0.8831
cg26208930,0.8174,0.7998,0.7292,0.7726,0.7241,0.8109,0.8339,0.7014,0.514
cg17808634,0.9726,0.9745,0.9726,0.9744,0.971,0.9722,0.9747,0.9554,0.9659
cg19853077,0.9574,0.9481,0.9573,0.9545,0.9488,0.9487,0.9616,0.9459,0.916
cg07962882,0.9667,0.9592,0.9519,0.9552,0.9657,0.9547,0.9853,0.9781,0.9882
cg26241650,0.9561,0.9585,0.957,0.9598,0.9562,0.9519,0.9715,0.9434,0.9661
cg15041373,0.9544,0.9494,0.9509,0.9479,0.9577,0.9488,0.9485,0.9456,0.9568
cg08287334,0.971,0.976,0.9752,0.9465,0.976,0.9409,0.9805,0.975,0.9476
cg00779602,0.9261,0.945,0.9424,0.9326,0.924,0.9286,0.8252,0.8288,0.7928
cg12201155,0.9705,0.9718,0.9705,0.9696,0.972,0.9723,0.9728,0.9753,0.8808
cg00422714,0.9812,0.9768,0.977,0.9762,0.9835,0.9795,0.9774,0.9837,0.9409
cg18602928,0.9732,0.9754,0.9729,0.9425,0.9753,0.9714,0.9846,0.9722,0.5479
cg07984614,0.9815,0.9796,0.9758,0.9785,0.9764,0.9761,0.9844,0.9305,0.9265
cg26725552,0.8112,0.8308,0.8176,0.7614,0.8116,0.7553,0.9054,0.7457,0.4543
cg10034481,0.961,0.9619,0.956,0.9589,0.9648,0.9558,0.9786,0.9677,0.9842
cg16888603,0.9525,0.9473,0.9477,0.9469,0.9488,0.9368,0.9803,0.9515,0.9771
cg17510385,0.9708,0.9485,0.701,0.9632,0.821,0.9716,0.9532,0.9596,0.7895
cg12705693,0.8359,0.7953,0.5788,0.8276,0.6379,0.8172,0.8363,0.8081,0.6002
cg17714010,0.903,0.9036,0.8946,0.9055,0.9066,0.9054,0.944,0.9543,0.9457
cg26058289,0.9688,0.9635,0.9569,0.9612,0.9661,0.9574,0.9851,0.9847,0.991
cg19043450,0.9752,0.9699,0.9624,0.9698,0.9736,0.9675,0.9885,0.933,0.9349
cg03148373,0.9628,0.9618,0.9594,0.9544,0.9615,0.9468,0.9827,0.9538,0.8723
cg12389346,0.9601,0.9448,0.9591,0.9577,0.9614,0.9618,0.9606,0.95,0.9657
cg03962214,0.9544,0.9588,0.9559,0.9601,0.952,0.951,0.9802,0.9668,0.9559
cg21787835,0.9646,0.9632,0.9599,0.9573,0.964,0.9576,0.9765,0.9654,0.9779
cg02172466,0.8646,0.8918,0.8613,0.8888,0.879,0.8741,0.9236,0.9023,0.9032
cg20318235,0.8451,0.8524,0.8213,0.8616,0.8413,0.8395,0.8754,0.8153,0.7626
cg21903221,0.9547,0.8359,0.9406,0.9555,0.9491,0.9541,0.978,0.9739,0.9716
cg00479347,0.8495,0.7958,0.8234,0.8574,0.8252,0.8435,0.8801,0.782,0.8378
cg22607164,0.9589,0.9563,0.953,0.9514,0.9586,0.9542,0.9721,0.8989,0.9196
cg04769514,0.9601,0.9168,0.9303,0.9585,0.95,0.9473,0.9803,0.9547,0.9806
cg09750646,0.863,0.8034,0.8553,0.8673,0.8762,0.8497,0.8915,0.8383,0.8984
cg04076264,0.9148,0.9143,0.9065,0.9119,0.9225,0.9001,0.9679,0.9666,0.9803
cg20067575,0.9732,0.9704,0.971,0.9714,0.9738,0.9678,0.9835,0.9808,0.9725
cg16408279,0.9555,0.9612,0.9617,0.9571,0.9599,0.953,0.925,0.9524,0.9614
cg24371534,0.9427,0.9017,0.9198,0.9523,0.9182,0.936,0.9767,0.9694,0.9432
cg03960390,0.9641,0.959,0.9528,0.9522,0.9622,0.9532,0.9661,0.972,0.9774
cg11436025,0.9832,0.9812,0.9805,0.9814,0.9787,0.9787,0.9856,0.9849,0.9132
cg01074104,0.9473,0.9636,0.9548,0.953,0.9545,0.9382,0.9488,0.9317,0.8158
cg11865578,0.9643,0.954,0.9482,0.9544,0.9618,0.9461,0.9793,0.9828,0.9674
cg18907098,0.9361,0.9342,0.9307,0.9266,0.9328,0.9314,0.888,0.9055,0.8399
cg24892120,0.8057,0.7933,0.7874,0.7909,0.797,0.7764,0.8626,0.8297,0.7704
cg08796240,0.9568,0.9775,0.9742,0.9107,0.9754,0.7086,0.9856,0.9824,0.5762
cg06096175,0.9888,0.9875,0.9875,0.9874,0.9885,0.987,0.9932,0.9893,0.99
cg20278383,0.9644,0.9609,0.9614,0.9562,0.9622,0.9614,0.9587,0.9629,0.9692
cg08577953,0.9715,0.9715,0.9708,0.9656,0.9717,0.9607,0.9777,0.9752,0.9725
cg14095720,0.9814,0.9777,0.978,0.9771,0.9789,0.9768,0.9808,0.9722,0.9606
cg17565051,0.9666,0.9632,0.9614,0.9644,0.9631,0.9606,0.9808,0.9685,0.9809
cg00243187,0.9858,0.9847,0.9847,0.983,0.9854,0.9841,0.9913,0.9875,0.9774
cg09632029,0.9672,0.9715,0.9704,0.9656,0.9698,0.9646,0.987,0.9522,0.9664
cg09941017,0.9607,0.9661,0.9621,0.9688,0.9654,0.9624,0.975,0.9715,0.9417
cg12856760,0.975,0.976,0.9751,0.9738,0.9748,0.9754,0.9878,0.9873,0.9778
cg22452170,0.9783,0.978,0.9738,0.9758,0.9762,0.9733,0.9842,0.8403,0.9643
cg08623515,0.9699,0.6846,0.9637,0.9616,0.9703,0.9691,0.9654,0.9468,0.9724
cg21708145,0.8846,0.447,0.8581,0.8266,0.8459,0.8815,0.9111,0.8932,0.8955
cg02225988,0.9771,0.971,0.9717,0.971,0.9723,0.9758,0.9879,0.9809,0.9851
cg22504031,0.8761,0.8733,0.8624,0.8552,0.8844,0.8621,0.9003,0.8227,0.8705
cg16644803,0.9484,0.9508,0.9543,0.9529,0.9545,0.9447,0.9831,0.9788,0.9753
cg10709708,0.9614,0.9581,0.9599,0.963,0.9674,0.9513,0.9818,0.9756,0.9701
cg10426234,0.9756,0.9785,0.9537,0.9615,0.9539,0.9733,0.9807,0.9835,0.9723
cg03816062,0.9752,0.9774,0.9723,0.9677,0.9743,0.9688,0.9868,0.9757,0.8659
cg18003518,0.9527,0.9509,0.9576,0.9404,0.9556,0.9432,0.9311,0.9387,0.8676
cg27092995,0.965,0.9668,0.9673,0.9656,0.9671,0.9676,0.9813,0.9717,0.9553
cg02154436,0.9497,0.9528,0.9437,0.9427,0.9531,0.933,0.9724,0.9005,0.9632
cg16145211,0.9659,0.9635,0.9682,0.963,0.9638,0.9651,0.9693,0.9618,0.9706
cg12249345,0.975,0.9612,0.9662,0.9742,0.9708,0.9706,0.9825,0.9851,0.9888
cg21978694,0.9788,0.9667,0.9726,0.978,0.9746,0.9791,0.9912,0.9868,0.9886
cg27630540,0.9748,0.9745,0.9723,0.9722,0.974,0.9675,0.982,0.9785,0.9797
cg13294602,0.9714,0.9671,0.966,0.9653,0.9702,0.965,0.9857,0.9792,0.9853
cg12249345,0.975,0.9612,0.9662,0.9742,0.9708,0.9706,0.9825,0.9851,0.9888
cg21978694,0.9788,0.9667,0.9726,0.978,0.9746,0.9791,0.9912,0.9868,0.9886
cg16644803,0.9484,0.9508,0.9543,0.9529,0.9545,0.9447,0.9831,0.9788,0.9753
cg10709708,0.9614,0.9581,0.9599,0.963,0.9674,0.9513,0.9818,0.9756,0.9701
cg09927251,0.9592,0.9374,0.9579,0.9536,0.9547,0.9468,0.9742,0.8518,0.8747
cg01743020,0.9735,0.962,0.9729,0.9718,0.977,0.9767,0.9735,0.9423,0.934
cg17162031,0.8819,0.7257,0.876,0.8536,0.8886,0.8829,0.9023,0.7748,0.7624
cg08533865,0.9868,0.9844,0.9846,0.9865,0.9864,0.9856,0.9912,0.9914,0.9932
cg23836168,0.8534,0.8523,0.8479,0.8559,0.8568,0.8424,0.8796,0.7823,0.8457
cg05358397,0.9741,0.9721,0.9718,0.9652,0.9638,0.9756,0.9805,0.973,0.965
cg14642467,0.9754,0.9735,0.9775,0.977,0.9789,0.9685,0.9896,0.9814,0.9836
cg00403616,0.9734,0.9706,0.9702,0.9711,0.9751,0.9687,0.9793,0.9672,0.9228
cg13929734,0.9766,0.9786,0.9773,0.9778,0.9789,0.9754,0.9896,0.8693,0.93
cg04462650,0.9742,0.9766,0.9734,0.9703,0.9753,0.9718,0.9836,0.9633,0.947
cg22278901,0.9693,0.9502,0.9622,0.9329,0.9623,0.9615,0.9843,0.957,0.9617
cg25207147,0.9656,0.9622,0.9623,0.9566,0.9652,0.9627,0.9399,0.9517,0.9253
cg06382167,0.9157,0.9171,0.9139,0.9019,0.9129,0.9108,0.941,0.8887,0.8837
cg21488093,0.9123,0.9165,0.9052,0.9042,0.915,0.9171,0.9477,0.8861,0.9129
cg15750941,0.9824,0.9777,0.9735,0.9791,0.9751,0.9818,0.9904,0.9219,0.9625
cg09176893,0.9682,0.9542,0.9502,0.9538,0.9399,0.9621,0.9872,0.9588,0.9778
cg11143131,0.973,0.9707,0.9723,0.9742,0.9752,0.9747,0.9751,0.959,0.9511
cg16908901,0.9752,0.9748,0.9742,0.9708,0.9719,0.975,0.9907,0.9816,0.9858
cg13823144,0.9742,0.9718,0.9662,0.9631,0.9621,0.9693,0.9897,0.9534,0.9756
cg15775406,0.9602,0.9618,0.9638,0.9619,0.9592,0.9484,0.9738,0.9533,0.9632
cg27092995,0.965,0.9668,0.9673,0.9656,0.9671,0.9676,0.9813,0.9717,0.9553
cg02154436,0.9497,0.9528,0.9437,0.9427,0.9531,0.933,0.9724,0.9005,0.9632
cg16900589,0.9602,0.9595,0.9558,0.9562,0.9581,0.9537,0.9828,0.9793,0.9695
cg16796151,0.9689,0.9596,0.9557,0.9634,0.9634,0.9632,0.9746,0.9489,0.9616
cg06684201,0.97,0.9638,0.9663,0.9696,0.9715,0.9723,0.9793,0.963,0.9718
cg25859670,0.9528,0.9574,0.9557,0.9576,0.9573,0.9501,0.9471,0.9351,0.9619
cg20806040,0.9257,0.926,0.9208,0.919,0.9377,0.9216,0.96,0.9229,0.8913
cg14398860,0.9802,0.9784,0.98,0.979,0.9787,0.9786,0.9815,0.9796,0.981
cg03899721,0.983,0.9846,0.9553,0.9826,0.9752,0.9816,0.9916,0.9872,0.9911
cg05264881,0.9718,0.9263,0.9478,0.9662,0.9428,0.9671,0.9628,0.9773,0.9682
cg14574910,0.9685,0.973,0.9704,0.9694,0.9726,0.9652,0.9734,0.9762,0.8356
cg06593910,0.9646,0.8207,0.9697,0.9708,0.9708,0.9686,0.9865,0.9795,0.9122
cg10152624,0.9711,0.9676,0.9716,0.9673,0.9701,0.9673,0.9721,0.9762,0.9793
cg05349039,0.8537,0.847,0.822,0.8358,0.8309,0.8443,0.8907,0.8352,0.7773
cg07529658,0.9656,0.9637,0.964,0.9622,0.9668,0.9631,0.9785,0.9739,0.9326
cg16245035,0.9821,0.9821,0.9754,0.9823,0.9813,0.9792,0.9866,0.9845,0.9883
cg03625662,0.9503,0.9459,0.9394,0.9428,0.9457,0.9371,0.9467,0.9641,0.972
cg10589396,0.8996,0.8977,0.8832,0.8996,0.8988,0.875,0.8082,0.9538,0.93
cg02650121,0.9335,0.9319,0.9255,0.9211,0.9263,0.9336,0.9744,0.9482,0.9399
cg27104778,0.9755,0.9743,0.9707,0.9717,0.9745,0.9716,0.9843,0.9772,0.9852
cg20722637,0.9708,0.9692,0.9621,0.9702,0.9647,0.9607,0.9785,0.98,0.973
cg09115646,0.9646,0.9085,0.9512,0.9622,0.9521,0.9393,0.9842,0.9483,0.9689
cg16796151,0.9689,0.9596,0.9557,0.9634,0.9634,0.9632,0.9746,0.9489,0.9616
cg06684201,0.97,0.9638,0.9663,0.9696,0.9715,0.9723,0.9793,0.963,0.9718
cg24859375,0.9412,0.9514,0.944,0.9441,0.9465,0.945,0.9726,0.9604,0.9634
cg16990083,0.9664,0.8321,0.9627,0.9671,0.9534,0.9632,0.9822,0.9752,0.9824
cg26953293,0.956,0.9494,0.9489,0.9475,0.9549,0.9467,0.9835,0.9481,0.9798
cg24873695,0.9698,0.9632,0.9685,0.963,0.9719,0.97,0.9899,0.9211,0.92
cg06834177,0.9626,0.963,0.9604,0.9648,0.9629,0.9633,0.9694,0.9684,0.9601
cg03961030,0.8493,0.8464,0.8451,0.8503,0.8556,0.8364,0.9066,0.8218,0.8619
cg15100947,0.8824,0.8854,0.8738,0.8723,0.8812,0.8609,0.9316,0.9005,0.9086
cg16990945,0.956,0.789,0.956,0.7852,0.9592,0.9585,0.9859,0.9764,0.9795
cg01233786,0.9754,0.9646,0.9731,0.9765,0.9751,0.9751,0.9866,0.9733,0.9638
cg11840467,0.907,0.8781,0.8889,0.8892,0.8954,0.8945,0.9414,0.8564,0.84
cg10249637,0.9717,0.9584,0.9434,0.9541,0.9423,0.9692,0.975,0.838,0.8371
cg14840782,0.9703,0.9599,0.9648,0.9641,0.9564,0.9664,0.9846,0.9602,0.9573
cg24404878,0.9667,0.8392,0.9305,0.9526,0.9604,0.9663,0.9816,0.9196,0.9037
cg22605290,0.9314,0.9358,0.9184,0.9247,0.9242,0.923,0.9645,0.9641,0.8479
cg16621196,0.9275,0.9267,0.9228,0.9188,0.9285,0.9216,0.934,0.9367,0.8284
cg24137774,0.9602,0.9565,0.961,0.9261,0.9578,0.9443,0.9163,0.7891,0.8813
cg25909885,0.8828,0.8732,0.8728,0.8581,0.881,0.8508,0.9145,0.8211,0.8518
cg27196131,0.9615,0.9689,0.9688,0.9612,0.9682,0.9561,0.9348,0.7582,0.8706
cg16053005,0.9743,0.9723,0.972,0.9675,0.9704,0.9628,0.9658,0.9598,0.9177
cg06513819,0.9139,0.93,0.917,0.914,0.9263,0.9084,0.9387,0.9181,0.8362
cg12349571,0.931,0.5138,0.9124,0.9199,0.933,0.9082,0.9615,0.9606,0.9618
cg01666796,0.9524,0.4456,0.9485,0.951,0.96,0.9356,0.9032,0.9798,0.9793
cg21617494,0.9724,0.9701,0.9726,0.9616,0.9646,0.9669,0.9523,0.8966,0.9578
cg06509223,0.9384,0.9493,0.9484,0.9372,0.9419,0.9381,0.9049,0.9084,0.8952
cg24990808,0.9764,0.9755,0.9724,0.9744,0.9716,0.9758,0.9864,0.9792,0.9792
cg02381965,0.9741,0.9737,0.9704,0.9721,0.975,0.9707,0.9838,0.9795,0.9841
cg24929896,0.8985,0.8968,0.8979,0.8963,0.9051,0.8955,0.9275,0.9015,0.9115
cg06415550,0.9593,0.9513,0.9468,0.949,0.9614,0.9389,0.9741,0.972,0.9654
cg16124920,0.9766,0.9749,0.975,0.9694,0.9732,0.9758,0.9839,0.9869,0.9601
cg18003518,0.9527,0.9509,0.9576,0.9404,0.9556,0.9432,0.9311,0.9387,0.8676
